0	3
0	19
0	25
0	26
1	14
1	22
1	26
1	28
2	5
2	21
2	23
2	24
3	0
3	14
3	15
3	27
4	6
4	10
4	15
4	23
5	2
5	11
5	20
5	23
6	4
6	16
6	19
6	25
7	19
7	21
7	24
7	29
8	9
8	12
8	19
8	25
9	8
9	23
9	25
9	28
10	4
10	20
10	23
10	27
11	5
11	16
11	26
11	28
12	8
12	14
12	15
12	22
13	17
13	18
13	19
13	23
14	1
14	3
14	12
14	15
14	17
15	3
15	4
15	12
15	14
15	18
16	6
16	11
16	20
16	24
16	29
17	13
17	14
17	22
17	26
17	27
18	13
18	15
18	20
18	24
18	28
18	29
19	0
19	6
19	7
19	8
19	13
19	25
20	5
20	10
20	16
20	18
20	24
20	26
20	29
21	2
21	7
21	22
21	26
21	27
21	28
21	29
22	1
22	12
22	17
22	21
22	27
22	28
22	29
23	2
23	4
23	5
23	9
23	10
23	13
23	29
24	2
24	7
24	16
24	18
24	20
24	27
24	29
25	0
25	6
25	8
25	9
25	19
25	26
25	28
26	0
26	1
26	11
26	17
26	20
26	21
26	25
26	27
27	3
27	10
27	17
27	21
27	22
27	24
27	26
27	28
28	1
28	9
28	11
28	18
28	21
28	22
28	25
28	27
29	7
29	16
29	18
29	20
29	21
29	22
29	23
29	24
